SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513511,PANCH.STEEL ,B ,Q,48.05,50.00,48.05,49.25,50.00,50.00,8,373,18194.00,
531726,PANCHSHEEL O,B ,Q,17.00,17.90,17.00,17.90,17.90,17.05,18,1883,32162.00,
531280,PANKAJ POLY.,B ,Q,7.98,7.98,6.38,6.39,7.49,7.50,6,2037,13026.00,
531816,PANORAM UNI ,B ,Q,8.75,8.75,8.50,8.63,8.63,8.57,5,725,6301.00,
570002,PANTALBNDVR ,B ,Q,99.00,99.00,97.35,98.45,98.45,99.95,63,1327,129704.00,
623574,PANTALOON RE,A ,Q,173.00,173.00,173.00,173.00,173.00,169.00,1,3828,662244.00,
523574,PANTALOON RE,A ,Q,166.20,171.55,165.30,167.75,167.75,168.45,9785,794452,133529642.00,
500322,PANYAM CEMEN,B ,Q,71.00,74.90,71.00,73.00,74.90,71.70,15,1619,118162.00,
509820,PAPER PROD  ,B ,Q,66.55,68.15,66.55,67.25,67.25,66.55,455,54506,3692330.00,
533211,PARAB DRUGS ,B ,Q,29.40,29.70,29.00,29.30,29.45,29.45,150,12382,362766.00,
532606,PARAL       ,T ,Q,321.50,347.80,321.50,338.10,338.10,334.00,29,1107,377883.00,
530555,PARAMOUNT CO,B ,Q,2.20,2.40,2.20,2.30,2.30,2.34,18,5897,13580.00,
533399,PARAMOUNT PR,B ,Q,5.91,6.44,5.91,6.00,6.00,6.04,13,4600,27757.00,
521246,PARAS PETRO ,B ,Q,0.35,0.40,0.35,0.36,0.36,0.36,47,314240,117170.00,
500323,PAREKH PLATI,T ,Q,2.47,2.47,2.30,2.35,2.35,2.36,12,2571,6155.00,
